year,state,size,vs_p,vs_v,vs_c,vs_o,hs_p,hs_v,hs_c,pop_p,pop_v,pop_c,pop_o,winner
2021,AR,13,0.0,0.0,0.0,1.0,0,0,0,0.54,0.23,0.23,0.0,P
2021,CO,4,0.0,0.0,0.0,1.0,0,0,0,1.0,0.0,0.0,0.0,P
2021,CT,6,0.0,0.0,0.0,1.0,0,0,0,0.33,0.67,0.0,0.0,P
2021,DE,3,0.0,0.0,0.0,1.0,0,0,0,0.67,0.33,0.0,0.0,V
2021,FL,80,0.0,0.0,0.0,1.0,0,0,1,0.56,0.2,0.14,0.1,C
2021,GA,65,0.0,0.0,0.0,1.0,0,0,0,0.51,0.32,0.17,0.0,V
2021,HI,1,0.0,0.0,0.0,1.0,0,0,0,1.0,0.0,0.0,0.0,P
2021,IL,17,0.0,0.0,0.0,1.0,0,0,0,0.35,0.53,0.12,0.0,P
2021,IN,9,0.0,0.0,0.0,1.0,1,0,0,0.56,0.11,0.33,0.0,P
2021,IA,9,0.0,0.0,0.0,1.0,0,1,0,0.22,0.67,0.11,0.0,V
2021,KS,9,0.0,0.0,0.0,1.0,0,0,0,0.22,0.67,0.0,0.11,V
2021,KY,1,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,1.0,0.0,V
2021,LA,22,0.0,0.0,0.0,1.0,0,0,0,0.41,0.32,0.18,0.09,P
2021,ME,1,0.0,0.0,0.0,1.0,0,0,0,1.0,0.0,0.0,0.0,P
2021,MD,14,0.0,0.0,0.0,1.0,0,0,0,0.29,0.29,0.43,-0.01,C
2021,MI,22,0.0,0.0,0.0,1.0,0,0,0,0.68,0.18,0.14,0.0,P
2021,MN,2,0.0,0.0,0.0,1.0,0,0,0,0.5,0.0,0.5,0.0,V
2021,MS,51,0.0,0.0,0.0,1.0,0,0,0,0.47,0.29,0.22,0.02,V
2021,MO,33,0.0,0.0,0.0,1.0,0,0,0,0.27,0.52,0.15,0.06,V
2021,MT,1,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,1.0,0.0,P
2021,NE,10,0.0,0.0,0.0,1.0,0,0,0,0.4,0.5,0.1,0.0,V
2021,NV,9,0.0,0.0,0.0,1.0,0,0,0,0.67,0.22,0.11,0.0,V
2021,NH,1,0.0,0.0,0.0,1.0,0,0,0,1.0,0.0,0.0,0.0,P
2021,NM,4,0.0,0.0,0.0,1.0,0,0,0,0.25,0.5,0.0,0.25,P
2021,NY,7,0.0,0.0,0.0,1.0,0,0,0,0.57,0.29,0.14,0.0,V
2021,NC,13,0.0,0.0,0.0,1.0,1,0,0,0.54,0.23,0.23,0.0,P
2021,ND,1,0.0,0.0,0.0,1.0,0,0,0,1.0,0.0,0.0,0.0,P
2021,OH,9,0.0,0.0,0.0,1.0,0,0,0,0.0,0.78,0.11,0.11,V
2021,OK,23,0.0,0.0,0.0,1.0,0,0,0,0.22,0.65,0.09,0.04,V
2021,OR,3,0.0,0.0,0.0,1.0,0,0,0,1.0,0.0,0.0,0.0,P
2021,PA,8,0.0,0.0,0.0,1.0,0,0,0,0.75,0.0,0.25,0.0,P
2021,RI,1,0.0,0.0,0.0,1.0,0,0,0,1.0,0.0,0.0,0.0,P
2021,SC,8,0.0,0.0,0.0,1.0,0,0,0,0.75,0.25,0.0,0.0,P
2021,SD,13,0.0,0.0,0.0,1.0,0,0,0,0.46,0.38,0.15,0.01,P
2021,TN,43,0.0,0.0,0.0,1.0,0,1,0,0.42,0.49,0.09,0.0,V
2021,TX,72,0.0,0.0,0.0,1.0,0,0,0,0.64,0.22,0.14,0.0,P
2021,UT,2,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,1.0,0.0,C
2021,VA,16,0.0,0.0,0.0,1.0,0,0,0,0.31,0.44,0.19,0.06,P
2021,WA,6,0.0,0.0,0.0,1.0,0,0,0,0.33,0.5,0.17,0.0,V
2021,WV,3,0.0,0.0,0.0,1.0,0,0,0,1.0,0.0,0.0,0.0,P
2021,WI,3,0.0,0.0,0.0,1.0,0,0,0,0.67,0.33,0.0,0.0,P
2021,WY,3,0.0,0.0,0.0,1.0,0,0,0,0.67,0.33,0.0,0.0,V
2022,FL,100,0.16,0.03,0.07,0.74,0,0,0,0.44,0.3,0.21,0.05,V
2022,IN,21,0.24,0.0,0.0,0.76,0,0,0,0.33,0.24,0.33,0.1,P
2022,GA,78,0.15,0.06,0.04,0.75,0,0,0,0.47,0.31,0.19,0.03,V
2022,NC,37,0.08,0.08,0.0,0.84,0,1,0,0.22,0.65,0.11,0.02,V
2022,SD,8,0.12,0.12,0.0,0.76,0,0,0,0.5,0.5,0.0,0.0,C
2022,TX,80,0.11,0.21,0.0,0.68,0,0,0,0.54,0.29,0.14,0.03,V
2022,NE,17,0.35,0.12,0.0,0.53,0,0,0,0.29,0.41,0.12,0.18,C
2022,AR,16,0.19,0.19,0.12,0.5,0,0,1,0.31,0.12,0.31,0.26,C
2022,KY,3,0.0,0.0,0.0,1.0,0,0,0,0.0,0.33,0.67,0.0,P
2022,MO,45,0.04,0.6,0.0,0.36,0,1,0,0.07,0.71,0.2,0.02,V
2022,MI,33,0.0,0.03,0.0,0.97,0,0,0,0.45,0.42,0.09,0.04,V
2022,SC,14,0.14,0.0,0.0,0.86,0,0,0,0.07,0.5,0.43,0.0,C
2022,MS,33,0.12,0.06,0.03,0.79,0,0,0,0.33,0.39,0.15,0.13,V
2022,MT,4,0.25,0.0,0.0,0.75,0,0,0,0.25,0.0,0.25,0.5,C
2022,DE,5,0.6,0.0,0.0,0.4,0,0,0,0.6,0.2,0.2,0.0,C
2022,OR,6,0.17,0.0,0.33,0.5,0,0,0,0.17,0.5,0.17,0.16,V
