State,Party,Decided?,Vote
Louisiana,Perseverance,"No, I'm Undecided",Undecided
,,,
Louisiana,Perseverance,"No, I'm Undecided",Undecided
,,,
Louisiana,Perseverance,"No, I'm Undecided",Undecided
,,,
Louisiana,Perseverance,"No, I'm Undecided",Undecided
,,,
Louisiana,Perseverance,"No, I'm Undecided",Undecided
,,,
Louisiana,Perseverance,"No, I'm Undecided",Undecided
,,,
Louisiana,Perseverance,"No, I'm Undecided",Undecided
,,,
Louisiana,Perseverance,"No, I'm Undecided",Undecided
,,,
Louisiana,Perseverance,"No, I'm Undecided",Undecided
,,,
Louisiana,Perseverance,"No, I'm Undecided",Undecided
,,,
Louisiana,Perseverance,"No, I'm Undecided",Undecided
,,,
Maine,Perseverance,"No, I'm Undecided",Undecided
,,,
Maine,Perseverance,"No, I'm Undecided",Undecided
,,,
Maryland,Perseverance,"No, I'm Undecided",Undecided
,,,
Massachusetts,Perseverance,"No, I'm Undecided",Undecided
,,,
Michigan,Perseverance,"No, I'm Undecided",Undecided
,,,
Michigan,Perseverance,"No, I'm Undecided",Undecided
,,,
Mississippi,Perseverance,"No, I'm Undecided",Undecided
,,,
Mississippi,Perseverance,"No, I'm Undecided",Undecided
,,,
Mississippi,Perseverance,"No, I'm Undecided",Undecided
,,,
Mississippi,Perseverance,"No, I'm Undecided",Undecided
,,,
Mississippi,Perseverance,"No, I'm Undecided",Undecided
,,,
Mississippi,Perseverance,"No, I'm Undecided",Undecided
,,,
Mississippi,Perseverance,"No, I'm Undecided",Undecided
,,,
Mississippi,Perseverance,"No, I'm Undecided",Undecided
,,,
Mississippi,Perseverance,"No, I'm Undecided",Undecided
,,,
Mississippi,Perseverance,"No, I'm Undecided",Undecided
,,,
Mississippi,Perseverance,"No, I'm Undecided",Undecided
,,,
Mississippi,Perseverance,"No, I'm Undecided",Undecided
,,,
Mississippi,Perseverance,"No, I'm Undecided",Undecided
,,,
Mississippi,Perseverance,"No, I'm Undecided",Undecided
,,,
Missouri,Perseverance,"No, I'm Undecided",Undecided
,,,
Montana,Perseverance,"No, I'm Undecided",Undecided
,,,
Nebraska,Perseverance,"No, I'm Undecided",Undecided
,,,
Nebraska,Perseverance,"No, I'm Undecided",Undecided
,,,
Nebraska,Perseverance,"No, I'm Undecided",Undecided
,,,
Nebraska,Perseverance,"No, I'm Undecided",Undecided
,,,
New York,Perseverance,"No, I'm Undecided",Undecided
,,,
North Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
North Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
North Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
North Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
North Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
North Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
North Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
North Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
North Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
North Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
Ohio,Perseverance,"No, I'm Undecided",Undecided
,,,
Ohio,Perseverance,"No, I'm Undecided",Undecided
,,,
Ohio,Perseverance,"No, I'm Undecided",Undecided
,,,
Ohio,Perseverance,"No, I'm Undecided",Undecided
,,,
Ohio,Perseverance,"No, I'm Undecided",Undecided
,,,
Oklahoma,Perseverance,"No, I'm Undecided",Undecided
,,,
Oklahoma,Perseverance,"No, I'm Undecided",Undecided
,,,
Oklahoma,Perseverance,"No, I'm Undecided",Undecided
,,,
Oklahoma,Perseverance,"No, I'm Undecided",Undecided
,,,
Oklahoma,Perseverance,"No, I'm Undecided",Undecided
,,,
Oklahoma,Perseverance,"No, I'm Undecided",Undecided
,,,
Oklahoma,Perseverance,"No, I'm Undecided",Undecided
,,,
Oklahoma,Perseverance,"No, I'm Undecided",Undecided
,,,
Oklahoma,Perseverance,"No, I'm Undecided",Undecided
,,,
Oregon,Perseverance,"No, I'm Undecided",Undecided
,,,
Oregon,Perseverance,"No, I'm Undecided",Undecided
,,,
Oregon,Perseverance,"No, I'm Undecided",Undecided
,,,
Oregon,Perseverance,"No, I'm Undecided",Undecided
,,,
Oregon,Perseverance,"No, I'm Undecided",Undecided
,,,
Oregon,Perseverance,"No, I'm Undecided",Undecided
,,,
South Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
South Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
South Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
South Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
South Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
South Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
South Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
South Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
South Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
South Carolina,Perseverance,"No, I'm Undecided",Undecided
,,,
Tennessee,Perseverance,"No, I'm Undecided",Undecided
,,,
Tennessee,Perseverance,"No, I'm Undecided",Undecided
,,,
Tennessee,Perseverance,"No, I'm Undecided",Undecided
,,,
Tennessee,Perseverance,"No, I'm Undecided",Undecided
,,,
