Timestamp,State,Are you attending National Convention 2021 in person?,Party,Have you decided on a presidential ticket?,Vote,Are you open to changing your mind?,Which of these factors most greatly influences your decision to support a specific Presidential ticket?,What do you value most in a candidate?,Are you more likely to cast your vote based upon an individual or a message?,Do you have a personal Instagram account?,How important is a candidate's social media presence?,Which of the following influences your vote the most?,How many years have you been involved with TeenPact?,Which of the following candidate's names do you recognize?
5/19/2021 11:46:27,Mississippi,Yes,Vision,Yes,Luke Willson/Noah Diaz,Yes,Prior relationship with candidates,Honesty,Individual,Yes,Very,Social Media presence,2-3,"Caroline Allen, Walter Baldwin, Beth Berry, Bruce Bigler, Madalyn Bizak, Sarah Botti, Libby Bova, Brooks Breedlove, Jake Brietzke, Reese Chatman, Isaac Cullum, Noah Diaz, Wyatt Dillard, Heidi Dillow, Lara Doorn, Eden Edwards, Myra Ehrenberg, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Marisa Garcia, Lydia Graham, Caleb Griffin, Caleb Hahn, Trevor Harrison, Victoria Hemphill, Micah Hill, Elise Hof, Madison Hunsucker, Noah Kent, Caleb Knapp, Joseph Lasseter, Tylah Lynn, Brooklyn Manning, Grant May, Daniel McCarthy, Gideon Miller, Jamison Murabito, Hannah Nelson, Nathaniel Olaires, Rhianna Philcox, Marco Pineda, Noah Powers, Brennan Roub, Lillian Savage, Cassie Sawyer, Caleb Shirk, Jed Sicilia, Corban Smith, Macie Smith, John Sprayberry, Sarah Strozier, Linnea Stuart, Grayson Sykes, Colton Taussig, Lauren Wagner, Wynn Waldbeser, Luke Willson, Leah Wilson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/19/2021 11:48:36,North Carolina,No,Compassion,Yes,Walt Baldwin/Cassie Sawyer,No,Prior relationship with candidates,Open-mindedness,Individual,No,Slightly,Campaign team members,This is my first year,"Walter Baldwin, Cassie Sawyer, Luke Willson"
5/19/2021 12:07:50,Arkansas,Yes,Perseverance,Yes,Luke Willson/Noah Diaz,Yes,Campaign team outreach,Leads by example,Message,Yes,Very,Campaign team members,2-3,"Jeffrey Baker, Beth Berry, Sarah Botti, Noah Diaz, Heidi Dillow, Eden Edwards, Evie Erickson, Dannen Farabee, Tara Beth Forehand, Lydia Graham, Caleb Hahn, Elise Hof, Caleb Knapp, Brooklyn Manning, Lillian Savage, John Sprayberry, Linnea Stuart, Lauren Wagner, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright"
5/19/2021 12:14:57,Michigan,Yes,Perseverance,No,Undecided,Yes,Personal interaction at National Convention,Honesty,Individual,Yes,Slightly,Campaign team members,This is my first year,"Jackson Archer, Jeffrey Baker, Noah Diaz, Wyatt Dillard, Heidi Dillow, Lara Doorn, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Caleb Hahn, Trevor Harrison, Brooklyn Manning, Hannah Nelson, Noah Powers, Lillian Savage, Elizabeth Williams, Luke Willson, Leah Wilson, Ethan Wright, Whitnie Yoder"
5/19/2021 12:18:13,Maryland,Yes,Compassion,Yes,Tara Beth Forehand/Lydia Graham,Yes,Personal interaction at National Convention,Leads by example,Individual,Yes,Slightly,Campaign team members,4-5,"Jackson Archer, Walter Baldwin, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Jake Brietzke, Reese Chatman, Noah Diaz, Heidi Dillow, Evie Erickson, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Hahn, Victoria Hemphill, Elise Hof, Noah Kent, Caleb Knapp, Joseph Lasseter, Grant May, Daniel McCarthy, Jamison Murabito, Nathaniel Olaires, Lillian Savage, Cassie Sawyer, Macie Smith, Lauren Wagner, Luke Willson, Chloe Jo Woodell, Whitnie Yoder, Max Zepeda"
5/19/2021 12:29:23,Washington,No,N/A,No,Elise Hof/Brock Freeland,Yes,Prior relationship with candidates,Confidence,Individual,No,Slightly,Campaign team members,2-3,"Beth Berry, Sarah Botti, Reese Chatman, Noah Diaz, Tara Beth Forehand, Brock Freeland, Elise Hof, Caleb Shirk, Whitnie Yoder, Max Zepeda"
5/19/2021 12:38:19,Texas,Yes,Perseverance,Yes,Luke Willson/Noah Diaz,Yes,Personal interaction at National Convention,Leads by example,Individual,Yes,Very,Campaign team members,2-3,"Caroline Allen, Jeffrey Baker, Beth Berry, Bruce Bigler, Sarah Botti, Libby Bova, Jake Brietzke, Noah Diaz, Heidi Dillow, Eden Edwards, Myra Ehrenberg, Evie Erickson, Gabrielle Erickson, Marisa Garcia, Caleb Griffin, Elise Hof, John Jordan, Caleb Knapp, Brooklyn Manning, Grant May, Jamison Murabito, Hannah Nelson, Marco Pineda, Lillian Savage, Luke Willson, Leah Wilson, Chloe Jo Woodell, Whitnie Yoder, Max Zepeda"
5/19/2021 12:50:45,Oregon,Yes,N/A,No,Elise Hof/Brock Freeland,Yes,Prior relationship with candidates,Leads by example,Individual,Yes,Slightly,Social Media presence,6+,"Caroline Allen, Walter Baldwin, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Brooks Breedlove, Jake Brietzke, Reese Chatman, Isaac Cullum, Noah Diaz, Heidi Dillow, Eden Edwards, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Griffin, Caleb Hahn, Victoria Hemphill, Elise Hof, John Jordan, Noah Kent, Caleb Knapp, Tylah Lynn, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Nathaniel Olaires, Rhianna Philcox, Brennan Roub, Cassie Sawyer, Caleb Shirk, Corban Smith, Macie Smith, John Sprayberry, Linnea Stuart, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/19/2021 13:00:14,Texas,Yes,Perseverance,Yes,Luke Willson/Noah Diaz,Yes,Personal interaction at National Convention,Leads by example,Individual,Yes,Very,Campaign team members,2-3,"Caroline Allen, Jeffrey Baker, Beth Berry, Bruce Bigler, Sarah Botti, Libby Bova, Jake Brietzke, Noah Diaz, Heidi Dillow, Eden Edwards, Myra Ehrenberg, Evie Erickson, Gabrielle Erickson, Marisa Garcia, Caleb Griffin, Elise Hof, John Jordan, Caleb Knapp, Brooklyn Manning, Grant May, Jamison Murabito, Hannah Nelson, Marco Pineda, Lillian Savage, Luke Willson, Leah Wilson, Chloe Jo Woodell, Whitnie Yoder, Max Zepeda"
5/19/2021 13:22:32,Wisconsin,Yes,Perseverance,Yes,Luke Willson/Noah Diaz,Yes,Campaign team outreach,Kindness,Individual,Yes,Slightly,Campaign team members,4-5,"Caroline Allen, Jeffrey Baker, Walter Baldwin, Beth Berry, Bruce Bigler, Sarah Botti, Libby Bova, Brooks Breedlove, Reese Chatman, Isaac Cullum, Noah Diaz, Wyatt Dillard, Heidi Dillow, Lara Doorn, Eden Edwards, Myra Ehrenberg, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Lydia Graham, Elise Hof, John Jordan, Tylah Lynn, Brooklyn Manning, Daniel McCarthy, Brennan Roub, Lillian Savage, Rose Schumacher, Corban Smith, John Sprayberry, Linnea Stuart, Colton Taussig, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Max Zepeda"
