Timestamp,State,Are you attending National Convention 2019?,Party,What do you value most in a candidate?,Which of these factors most influences your vote?,Vote,Which of these factors most greatly influences your decision to support a specific Presidential ticket?,How likely are you to change your mind or choose a Presidential ticket at National Convention? ,Do you currently plan to vote for any specific Representative or Senatorial candidates?,"Once elected, how involved in the Administration of the TeenPact nation should Representatives and Senators be?",Which of these candidates do you recognize?
5/15/2019 19:40:33,Arkansas,Yes,Compassion,Humility,Instagram page,Robinson/Adams,Prior relationship with candidates,It's possible,Yes,Very involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, David McElroy, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kasey Cochran, Kylee Brandon, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Noah Kent, Olivia Banta, Patrick Sullivan, Peter Stephenson, Ryan Folmar, Spencer Graham, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:41:55,Florida,No,N/A,Humility,Instagram page,Robinson/Adams,Campaign team outreach,It's possible,Yes,Very involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Briley Glisson, Caleb Shirk, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Jo Woodell, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Lydia Smith, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Patrick Sullivan, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:42:22,Mississippi,Yes,Perseverance,Kindness,Campaign posters,Richardson/Benitez,Personal interaction at National Convention,It's possible,Yes,Moderately involved,"Anna Claire Williams, Biani Benitez, Bradley Conrad, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, Emma Freeland, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Libby Robinson, Liz Daley, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Kent, Patrick Sullivan, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:42:37,South Carolina,Yes,Compassion,Confidence,Instagram page,Richardson/Benitez,Campaign team outreach,It's possible,Yes,Moderately involved,"Abby Murray, Anna Claire Williams, Biani Benitez, Blake Landry, Briley Glisson, Carter MacDonald, Chad Fryer, Chloe Carlson, Chloe Jo Woodell, Emma Freeland, Isaac Richardson, Jonathan Crampton, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Patrick Sullivan, Taylor Migliore, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:43:00,New Mexico,Yes,N/A,Kindness,Instagram page,Undecided,Personal interaction at National Convention,It's possible,Yes,Moderately involved,"Anna Adams, Anna Claire Williams, Biani Benitez, Braden Kanyur, Briley Glisson, Caleb Shirk, Caroline Gould, Chad Fryer, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Logan Hancock, Luke Bieber, Patrick Sullivan, Ryan Folmar, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:43:44,,No,N/A,Open-mindedness,Instagram page,Richardson/Benitez,Prior relationship with candidates,It's possible,Yes,Moderately involved,"Andrew Gwinn, Anna Claire Williams, Bradley Conrad, Caleb Hahn, Caleb Shirk, Carter MacDonald, Chloe Jo Woodell, Daniel McCarthy, Emma Freeland, Grace Slack, Isaac Richardson, Josiah Wolfe, Kylee Brandon, Lauren Wagner, Libby Robinson, Lindsey Caba, Logan Hancock, Noah Diaz, Noah Kent, Olivia Banta, Patrick Sullivan, Spencer Graham, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:45:04,Georgia,Yes,Compassion,Humility,Instagram page,Robinson/Adams,Prior relationship with candidates,Out of the question,Yes,Very involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Hahn, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, David McElroy, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Josiah Kolar, Josiah Wolfe, Kasey Cochran, Kylee Brandon, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Noah Kent, Olivia Banta, Patrick Sullivan, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:46:08,Ohio,Yes,Vision,Humility,Elections Hall table setup,Undecided,Personal interaction at National Convention,Very likely,Yes,Moderately involved,"Andrew Gwinn, Caroline Gould, Chad Fryer, Daniel McCarthy, David Gosz, Emma Freeland, Isaac Richardson, Libby Robinson, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Olivia Banta, Patrick Sullivan, Ryan Folmar, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:46:43,Texas,Yes,Perseverance,Open-mindedness,Instagram page,Richardson/Benitez,Prior relationship with candidates,Unlikely,Yes,Very involved,"Anna Claire Williams, Biani Benitez, Blake Landry, Briley Glisson, Caroline Gould, Carter MacDonald, Charlie Hester, Chloe Carlson, Daniel McCarthy, David Gosz, David McElroy, Emma Freeland, Isaac Richardson, Josiah Wolfe, Logan Hancock, Luke Bieber, Maggie Megelsh, Noah Diaz, Patrick Sullivan, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:46:46,Oregon,No,N/A,Humility,Elections Hall table setup,Undecided,Performance during debates,Very likely,Yes,Very involved,"Biani Benitez, Braden Kanyur, David Gosz, Isaac Richardson, Logan Hancock, Luke Bieber, Patrick Sullivan"
,,,,,,,,,,,
5/15/2019 19:47:29,Florida,Yes,Compassion,Kindness,Elections Hall table setup,Robinson/Adams,Campaign team outreach,Unlikely,Yes,Very involved,"Abby Murray, Anna Adams, Libby Robinson, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:48:02,Nebraska,No,Perseverance,Confidence,Campaign posters,Undecided,Personal interaction at National Convention,It's possible,Yes,Very involved,"Bradley Conrad, Josiah Kolar, Lydia Smith, Tessa Lynn"
,,,,,,,,,,,
5/15/2019 19:48:07,Alabama,No,Vision,Open-mindedness,Instagram page,Forehand/McDonald,Performance during debates,It's possible,Yes,Very involved,"Abby Murray, Andrew Gwinn, Biani Benitez, Bradley Conrad, Briley Glisson, Caleb Hahn, Caroline Gould, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, Emma Freeland, Isaac Richardson, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:48:17,New York,Yes,Compassion,Honesty,Campaign merchandise,Undecided,Prior relationship with candidates,Very likely,Yes,Very involved,"Anna Adams, Anna Claire Williams, Blake Landry, Briley Glisson, Caleb Shirk, Chad Fryer, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Wolfe, Libby Robinson, Luke Bieber, Matthias Haas, Noah Diaz, Patrick Sullivan, Taylor Migliore"
,,,,,,,,,,,
5/15/2019 19:48:36,Arkansas,Yes,Perseverance,Confidence,Elections Hall table setup,Undecided,Campaign team outreach,It's possible,Yes,Very involved,"Abby Murray, Anna Claire Williams, Biani Benitez, Bradley Conrad, Briley Glisson, Caroline Gould, Chad Fryer, Chloe Jo Woodell, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Josiah Wolfe, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Patrick Sullivan, Ryan Folmar, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:48:59,,Yes,Perseverance,Humility,Instagram page,Forehand/McDonald,Prior relationship with candidates,Very likely,Yes,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kasey Cochran, Kylee Brandon, Libby Robinson, Lily Beall, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Patrick Sullivan, Peter Stephenson, Ryan Folmar, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:49:01,Louisiana,Yes,N/A,Humility,Elections Hall table setup,Undecided,Prior relationship with candidates,Very likely,Yes,Moderately involved,"Anna Claire Williams, Blake Landry, Braden Kanyur, Caroline Gould, Chloe Carlson, Grace Slack, Isaac Richardson, Josiah Kolar, Lindsey Caba, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Patrick Sullivan, Ryan Folmar, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:51:58,Misourri,Yes,Perseverance,Humility,Campaign merchandise,Richardson/Benitez,Prior relationship with candidates,Unlikely,Yes,Moderately involved,"Chloe Carlson, Isaac Richardson, Logan Hancock, Patrick Sullivan"
,,,,,,,,,,,
5/15/2019 19:52:35,Georgia,Yes,Compassion,Humility,Campaign merchandise,Robinson/Adams,Prior relationship with candidates,It's possible,Yes,Slightly involved,"Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Bradley Conrad, Briley Glisson, Caroline Gould, Chad Fryer, Chloe Jo Woodell, Emma Freeland, Eva Reynolds, Isaac Richardson, Josiah Wolfe, Libby Robinson, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Nick Alexakos, Patrick Sullivan, Taylor Migliore, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:54:06,Louisiana,No,N/A,Confidence,Instagram page,Undecided,Performance during debates,Very likely,Yes,Very involved,"Blake Landry, Braden Kanyur, Caroline Gould, Chloe Carlson, Emma Freeland, Isaac Richardson, Josiah Wolfe, Libby Robinson, Logan Hancock, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Patrick Sullivan, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:54:42,Texas,Yes,Perseverance,Humility,Campaign merchandise,Richardson/Benitez,Personal interaction at National Convention,It's possible,Yes,Very involved,"Biani Benitez, Bradley Conrad, Caroline Gould, Chloe Carlson, Daniel McCarthy, David McElroy, Logan Hancock, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:54:46,Maine,Yes,,Humility,Instagram page,Richardson/Benitez,Social media presence,It's possible,Yes,Moderately involved,"Abby Murray, Andrew Gwinn, Anna Claire Williams, Biani Benitez, Braden Kanyur, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Kylee Brandon, Lauren Wagner, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Noah Kent, Patrick Sullivan, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:56:45,Tennessee,Yes,Perseverance,Humility,Instagram page,Richardson/Benitez,Campaign team outreach,It's possible,Yes,Very involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Bradley Conrad, Briley Glisson, Caroline Gould, Carter MacDonald, Chad Fryer, Chloe Carlson, Chloe Jo Woodell, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Lily Beall, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Patrick Sullivan, Ryan Folmar, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:57:35,Indiana,Yes,Perseverance,Humility,Instagram page,Richardson/Benitez,Campaign team outreach,Unlikely,Yes,Moderately involved,"Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Chad Fryer, Chloe Jo Woodell, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Josiah Wolfe, Kylee Brandon, Libby Robinson, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Noah Diaz, Noah Kent, Patrick Sullivan, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:57:44,Arkansas,Yes,Vision,Kindness,Instagram page,Forehand/McDonald,Performance during debates,It's possible,Yes,Moderately involved,"Abby Murray, Anna Claire Williams, Biani Benitez, Bradley Conrad, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Nick Alexakos, Noah Diaz, Noah Kent, Patrick Sullivan, Roam Hoskin, Spencer Graham, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:59:17,Indiana,Yes,Perseverance,Humor,Elections Hall table setup,Richardson/Benitez,Campaign team outreach,It's possible,Yes,Very involved,"Abby Murray, Biani Benitez, Carter MacDonald, Chloe Jo Woodell, David Gosz, Emma Freeland, Isaac Richardson, Josiah Wolfe, Liz Daley, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Noah Diaz, Patrick Sullivan, Toby Forehand"
,,,,,,,,,,,
5/15/2019 20:03:00,Kentucky,Yes,Compassion,Humility,Instagram page,Undecided,Personal interaction at National Convention,It's possible,Yes,Very involved,"Abby Murray, Anna Claire Williams, Briley Glisson, Caroline Gould, Carter MacDonald, Charlie Hester, Chloe Carlson, David Gosz, Emma Freeland, Isaac Richardson, Libby Robinson, Liz Daley, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nick Alexakos, Noah Diaz, Patrick Sullivan, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 20:04:25,Louisiana,No,Perseverance,Honesty,Elections Hall table setup,Robinson/Adams,Performance during debates,Out of the question,Yes,Moderately involved,"Abby Murray, Anna Claire Williams, Blake Landry, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, David Gosz, Eva Reynolds, Grace Slack, Jonathan Crampton, Jonathan McCallum, Josiah Wolfe, Lauren Wagner, Lindsey Caba, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Patrick Sullivan"
,,,,,,,,,,,
5/15/2019 20:04:50,Arkansas,Yes,Compassion,Kindness,Instagram page,Forehand/McDonald,Personal interaction at National Convention,It's possible,Yes,Moderately involved,"Chloe Jo Woodell, Logan Hancock, Nathan Furlough"
,,,,,,,,,,,
5/15/2019 20:06:38,South Carolina,No,N/A,Confidence,Instagram page,Forehand/McDonald,Prior relationship with candidates,Out of the question,Yes,Very involved,"Abby Murray, Anna Claire Williams, Biani Benitez, Bradley Conrad, Briley Glisson, Caleb Hahn, Caroline Gould, Chad Fryer, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Patrick Sullivan, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 20:08:12,Arkansas,No,N/A,Open-mindedness,Elections Hall table setup,Forehand/McDonald,Prior relationship with candidates,Unlikely,Yes,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Bradley Conrad, Briley Glisson, Caroline Gould, Chad Fryer, Chloe Jo Woodell, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Libby Robinson, Liz Daley, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Olivia Banta, Patrick Sullivan, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 20:11:31,North Carolina,Yes,Perseverance,Honesty,Instagram page,Forehand/McDonald,Prior relationship with candidates,It's possible,Yes,Very involved,"Bradley Conrad, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, David Gosz, Emma Freeland, Isaac Richardson, Josiah Wolfe, Logan Hancock, Madelyn McDonald, Noah Diaz, Patrick Sullivan, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 20:15:04,New Mexico,No,N/A,Humility,Instagram page,Richardson/Benitez,Prior relationship with candidates,Out of the question,Yes,Very involved,"Blake Landry, Braden Kanyur, Caleb Shirk, Caroline Gould, Chad Fryer, Isaac Richardson, Logan Hancock, Patrick Sullivan"
,,,,,,,,,,,
5/15/2019 20:20:11,Kentucky,Yes,N/A,Honesty,Instagram page,Forehand/McDonald,Prior relationship with candidates,Unlikely,Yes,Moderately involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Nick Alexakos, Olivia Banta, Patrick Sullivan, Peter Stephenson, Ryan Folmar, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 20:22:22,Texas,No,N/A,Humor,Campaign merchandise,Richardson/Benitez,Prior relationship with candidates,Very likely,Yes,Moderately involved,"Abby Murray, Anna Claire Williams, Caroline Gould, Chloe Carlson, Emma Freeland, Isaac Richardson, Logan Hancock, Luke Bieber, Maggie Megelsh, Nick Alexakos, Patrick Sullivan, Ryan Folmar, Toby Forehand"
,,,,,,,,,,,
5/15/2019 20:25:27,Arizona,Yes,N/A,Confidence,Campaign merchandise,Richardson/Benitez,Prior relationship with candidates,Very likely,Yes,Moderately involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Hahn, Caleb Shirk, Caroline Gould, Chad Fryer, Chloe Carlson, Chloe Jo Woodell, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Nick Alexakos, Olivia Banta, Patrick Sullivan, Peter Stephenson, Ryan Folmar, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 20:26:04,Texas,Yes,N/A,Humility,Campaign merchandise,Undecided,Performance during debates,It's possible,Yes,Moderately involved,"Andrew Gwinn, Biani Benitez, Braden Kanyur, Carter MacDonald, David Gosz, David McElroy, Emma Freeland, Libby Robinson, Luke Bieber, Maggie Megelsh, Patrick Sullivan, Ryan Folmar, Toby Forehand"
,,,,,,,,,,,
5/15/2019 20:31:24,Ohio,Yes,Vision,Humility,Campaign merchandise,Richardson/Benitez,Prior relationship with candidates,It's possible,Yes,Very involved,"Andrew Gwinn, Anna Claire Williams, Biani Benitez, Briley Glisson, Chad Fryer, Charlie Hester, Daniel McCarthy, Emma Freeland, Isaac Richardson, Jonathan McCallum, Josiah Wolfe, Logan Hancock, Luke Bieber, Lydia Smith, Maggie Megelsh, Nathan Furlough, Olivia Banta, Patrick Sullivan, Roam Hoskin, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 20:32:09,Texas,Yes,Perseverance,Honesty,Instagram page,Richardson/Benitez,Prior relationship with candidates,Unlikely,Yes,Slightly involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, David Gosz, David McElroy, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Patrick Sullivan, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 20:33:40,Ohio,Yes,Vision,Humility,Elections Hall table setup,Richardson/Benitez,Personal interaction at National Convention,Very likely,Yes,Very involved,"Andrew Gwinn, Anna Claire Williams, Biani Benitez, Briley Glisson, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Daniel McCarthy, David Gosz, Emma Freeland, Isaac Richardson, Jonathan McCallum, Libby Robinson, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Nathan Furlough, Noah Diaz, Olivia Banta, Patrick Sullivan, Roam Hoskin, Ryan Folmar, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 20:34:05,Arkansas,Yes,Perseverance,Confidence,Elections Hall table setup,Richardson/Benitez,Prior relationship with candidates,Unlikely,Yes,Moderately involved,"Anna Claire Williams, Biani Benitez, Briley Glisson, Caleb Shirk, Carter MacDonald, Chad Fryer, Chloe Jo Woodell, David Gosz, Emma Freeland, Isaac Richardson, Josiah Kolar, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Nathan Furlough, Noah Diaz, Patrick Sullivan, Ryan Folmar, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 20:35:53,New York,Yes,Vision,Humility,Instagram page,Robinson/Adams,Prior relationship with candidates,It's possible,Yes,Very involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Daniel McCarthy, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Josiah Wolfe, Libby Robinson, Lindsey Caba, Logan Hancock, Luke Bieber, Lydia Smith, Maggie Megelsh, Matthias Haas, Meredith Durham, Noah Diaz, Noah Kent, Patrick Sullivan, Spencer Graham, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 20:43:58,Texas,Yes,Compassion,Kindness,Elections Hall table setup,Richardson/Benitez,Personal interaction at National Convention,It's possible,Yes,Moderately involved,"Anna Claire Williams, Biani Benitez, Blake Landry, Caroline Gould, David Gosz, Emma Freeland, Isaac Richardson, Logan Hancock, Luke Bieber, Nick Alexakos, Patrick Sullivan, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 20:44:44,Texas,No,N/A,Honesty,Instagram page,Richardson/Benitez,Prior relationship with candidates,Out of the question,Yes,Very involved,"Anna Adams, Biani Benitez, Blake Landry, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David McElroy, Emma Freeland, Isaac Richardson, Kylee Brandon, Maggie Megelsh, Noah Kent, Olivia Banta, Spencer Graham, Toby Forehand"
,,,,,,,,,,,
5/15/2019 20:47:42,Mississippi,Yes,Perseverance,Humility,Campaign merchandise,Undecided,Performance during debates,It's possible,Yes,Moderately involved,"Anna Claire Williams, Briley Glisson, Caroline Gould, Chad Fryer, Emma Freeland, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Josiah Wolfe, Libby Robinson, Lindsey Caba, Patrick Sullivan"
,,,,,,,,,,,
5/15/2019 20:52:50,,No,Vision,Confidence,,Forehand/McDonald,Performance during debates,Very likely,Yes,Very involved,Chad Fryer
,,,,,,,,,,,
5/15/2019 20:54:17,Maryland,Yes,Perseverance,Honesty,Instagram page,Undecided,Personal interaction at National Convention,Very likely,Yes,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Josiah Kolar, Josiah Wolfe, Kasey Cochran, Kylee Brandon, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Matthias Haas, Meredith Durham, Nathan Furlough, Noah Diaz, Olivia Banta, Patrick Sullivan, Peter Stephenson, Ryan Folmar, Spencer Graham, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 20:55:58,Oregon,No,N/A,Honesty,Instagram page,Forehand/McDonald,Social media presence,It's possible,Yes,Slightly involved,"Anna Adams, Caleb Hahn, Liz Daley"
,,,,,,,,,,,
5/15/2019 21:01:18,Delaware,No,N/A,Humility,Instagram page,Robinson/Adams,Social media presence,Out of the question,Yes,Very involved,"Abby Murray, Anna Adams, Briley Glisson, Caleb Hahn, Carter MacDonald, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Josiah Kolar, Josiah Wolfe, Libby Robinson, Lindsey Caba, Luke Bieber, Maggie Megelsh, Noah Diaz, Noah Kent"
,,,,,,,,,,,
5/15/2019 21:01:28,Delaware,No,N/A,Humility,Instagram page,Robinson/Adams,Social media presence,Out of the question,Yes,Very involved,"Abby Murray, Anna Adams, Briley Glisson, Caleb Hahn, Carter MacDonald, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Josiah Kolar, Josiah Wolfe, Libby Robinson, Lindsey Caba, Luke Bieber, Maggie Megelsh, Noah Diaz, Noah Kent"
,,,,,,,,,,,
