Timestamp,State,Are you attending National Convention 2019?,Party,What do you value most in a candidate?,Which of these factors most influences your vote?,Vote,Which of these factors most greatly influences your decision to support a specific Presidential ticket?,How likely are you to change your mind or choose a Presidential ticket at National Convention? ,Do you currently plan to vote for any specific Representative or Senatorial candidates?,"Once elected, how involved in the Administration of the TeenPact nation should Representatives and Senators be?",Which of these candidates do you recognize?
5/16/2019 1:06:51,Florida,Yes,Perseverance,Confidence,Elections Hall table setup,Undecided,Performance during debates,Very likely,No,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Bradley Conrad, Briley Glisson, Caleb Hahn, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Olivia Banta, Patrick Sullivan, Ryan Folmar, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/16/2019 1:26:42,New York,Yes,N/A,Open-mindedness,Campaign posters,Robinson/Adams,Prior relationship with candidates,It's possible,No,Moderately involved,"Anna Adams, Bradley Conrad, Briley Glisson"
,,,,,,,,,,,
5/16/2019 1:31:50,Alabama,Yes,N/A,Kindness,Instagram page,Forehand/McDonald,Prior relationship with candidates,It's possible,No,Very involved,Briley Glisson
,,,,,,,,,,,
5/16/2019 2:36:00,Texas,No,N/A,Honesty,Instagram page,Forehand/McDonald,Social media presence,Unlikely,No,Very involved,
,,,,,,,,,,,
5/16/2019 3:03:47,Texas,Yes,Compassion,Kindness,Instagram page,Richardson/Benitez,Campaign team outreach,It's possible,No,Very involved,"Anna Claire Williams, Biani Benitez, Chloe Carlson, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Patrick Sullivan, Toby Forehand"
,,,,,,,,,,,
5/16/2019 7:36:58,Texas,No,N/A,Confidence,Campaign merchandise,Undecided,Prior relationship with candidates,Very likely,No,Moderately involved,"Anna Claire Williams, Carter MacDonald, Isaac Richardson, Josiah Wolfe, Libby Robinson, Logan Hancock, Luke Bieber, Lydia Smith, Maggie Megelsh, Nick Alexakos, Patrick Sullivan, Ryan Folmar"
,,,,,,,,,,,
5/16/2019 11:13:41,Georgia,No,N/A,Kindness,Instagram page,Forehand/McDonald,Prior relationship with candidates,It's possible,No,Very involved,"Anna Adams, Anna Claire Williams, Blake Landry, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Patrick Sullivan, Ryan Folmar, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
